time,X,Y
1 ,0.000 ,0.000 
2 ,0.000 ,0.000 
3 ,0.000 ,0.000 
4 ,0.000 ,0.000 
5 ,0.000 ,0.000 
6 ,0.000 ,0.000 
7 ,0.000 ,0.000 
8 ,0.000 ,0.000 
9 ,0.000 ,0.000 
10 ,0.000 ,0.000 
11 ,0.000 ,0.000 
12 ,0.000 ,0.000 
13 ,0.000 ,0.000 
14 ,0.000 ,0.000 
15 ,0.000 ,0.000 
16 ,0.000 ,0.000 
17 ,0.000 ,0.000 
18 ,-0.001 ,0.000 
19 ,-0.001 ,0.001 
20 ,0.000 ,0.472 
21 ,0.000 ,0.472 
22 ,0.000 ,0.472 
23 ,0.000 ,0.472 
24 ,0.000 ,0.472 
25 ,0.000 ,0.472 
26 ,0.000 ,0.472 
27 ,0.000 ,0.472 
28 ,0.000 ,0.472 
29 ,0.000 ,0.472 
30 ,0.000 ,0.472 
31 ,0.000 ,0.472 
32 ,0.000 ,0.472 
33 ,0.000 ,0.472 
34 ,0.000 ,0.472 
35 ,0.000 ,0.472 
36 ,0.313 ,250.139 
37 ,0.970 ,774.600 
38 ,0.045 ,36.462 
39 ,-0.955 ,-761.865 
40 ,-0.045 ,-35.525 
41 ,1.910 ,1525.240 
42 ,0.090 ,72.679 
43 ,-1.910 ,-1524.060 
44 ,-0.090 ,-71.736 
45 ,2.864 ,2287.430 
46 ,0.136 ,108.782 
47 ,-2.864 ,-2285.950 
48 ,-0.136 ,-107.817 
49 ,3.819 ,3042.870 
50 ,0.181 ,138.862 
51 ,-3.819 ,-3046.580 
52 ,-0.181 ,-143.945 
53 ,4.774 ,3794.480 
54 ,0.226 ,166.941 
55 ,-4.774 ,-3804.690 
56 ,-0.226 ,-179.959 
57 ,5.729 ,4533.660 
58 ,0.271 ,184.080 
59 ,-5.729 ,-4564.940 
60 ,-0.271 ,-218.721 
61 ,6.683 ,5224.160 
62 ,5.567 ,4335.930 
63 ,2.942 ,2249.990 
64 ,-0.996 ,-877.578 
65 ,-6.902 ,-5435.180 
66 ,-5.348 ,-4202.770 
67 ,-2.723 ,-2123.400 
68 ,1.388 ,1132.400 
69 ,7.862 ,6014.320 
70 ,5.862 ,4436.550 
71 ,2.862 ,2072.720 
72 ,-1.638 ,-1472.380 
73 ,-7.612 ,-6019.130 
74 ,-5.612 ,-4447.270 
75 ,-2.612 ,-2091.590 
76 ,2.124 ,1626.590 
77 ,8.282 ,6338.960 
78 ,6.032 ,4575.360 
79 ,2.657 ,1932.150 
80 ,-2.406 ,-2031.810 
81 ,-8.001 ,-6307.210 
82 ,-5.751 ,-4547.330 
83 ,-2.376 ,-1910.180 
84 ,2.985 ,2277.860 
85 ,8.577 ,6550.750 
86 ,6.077 ,4599.850 
87 ,2.327 ,1675.740 
88 ,-3.298 ,-2709.250 
89 ,-8.265 ,-6499.310 
90 ,-5.765 ,-4551.950 
91 ,-2.015 ,-1633.050 
92 ,3.971 ,3025.060 
93 ,6.292 ,4835.860 
94 ,9.772 ,7141.710 
95 ,10.923 ,7629.260 
96 ,8.965 ,6111.680 
97 ,6.028 ,3860.160 
98 ,1.623 ,484.208 
99 ,-4.984 ,-4583.680 
100 ,-7.462 ,-6478.710 
101 ,-10.821 ,-8039.670 
102 ,-9.428 ,-6977.100 
103 ,-7.337 ,-5404.560 
104 ,-4.201 ,-3046.810 
105 ,0.549 ,522.974 
106 ,8.246 ,6311.380 
107 ,11.133 ,8159.480 
108 ,11.785 ,8400.990 
109 ,10.161 ,7179.610 
110 ,7.726 ,5367.160 
111 ,4.073 ,2649.550 
112 ,-1.407 ,-1424.990 
113 ,-9.627 ,-7540.380 
114 ,-11.373 ,-8447.630 
115 ,-10.248 ,-7609.220 
116 ,-8.561 ,-6362.510 
117 ,-6.029 ,-4493.130 
118 ,-2.232 ,-1689.650 
119 ,1.443 ,1023.930 
120 ,5.000 ,3651.320 
